Representative no	Nterm	Family/annotation	E-value
EXK81371.1	unk	Goodbye	4.5000000000000004e-14
EXL39096.1	unk	PNP_UDP_1	4.3e-08
EXL39640.1	unk	PNP_UDP_1	0.0024
EXK36169.1	unk	PNP_UDP_1	6.3e-07
EXK49899.1	unk	Goodbye	5.099999999999999e-13
EXK76781.1	unk	PNP_UDP_1	0.0063
EWZ36547.1	unk	Goodbye	3.5e-14
EWZ77348.1	unk	PNP_UDP_1	1.6e-06
EWZ00419.1	unk	PNP_UDP_1	0.0011
EWZ28531.1	unk	PNP_UDP_1	2.7000000000000004e-06
EWZ28770.1	unk	Goodbye	3.3e-07
EWZ30352.1	unk	PNP_UDP_1	6.3e-05
EWZ28671.1	unk	HET-S	4.2e-05
EXA29845.1	unk	PNP_UDP_1	0.0041
EXA31424.1	unk	PNP_UDP_1	5.7999999999999994e-05
EWZ84465.1	unk	PNP_UDP_1	0.0048
EWZ84998.1	unk	PNP_UDP_1	4.1e-07
EWZ90790.1	unk	Goodbye	2.8999999999999996e-14
EWZ86348.1	unk	Goodbye	7.1e-07
KFA79996.1	unk	PNP_UDP_1	2e-06
KFA80931.1	unk	PNP_UDP_1	4.7e-06
KFA81273.1	unk	Ses_B	0.0037
KFA81552.1	unk	Ses_B	0.0052
KFG77469.1	unk	PNP_UDP_1	1.8e-05
KFG77485.1	unk	PNP_UDP_1	4.3e-07
KFG83032.1	unk	PNP_UDP_1	0.0094
KFG84113.1	unk	PNP_UDP_1	0.00022999999999999998
KFG84245.1	unk	PNP_UDP_1	5.5e-06
KFG85735.1	unk	PNP_UDP_1	4e-05
KFA68372.1	unk	PNP_UDP_1	3.2e-05
KFA69763.1	unk	Ses_B	8e-05
KFA69802.1	unk	Goodbye	0.0056
KFA70563.1	unk	PNP_UDP_1	5.7999999999999995e-06
KFA70623.1	unk	Ses_B	0.0036
KFA78071.1	unk	PNP_UDP_1	0.0001
KFA78635.1	unk	Ses_B	0.0045
KFX89144.1	unk	Goodbye	1.1e-22
KFX99462.1	unk	Goodbye	2.3e-22
KFY02425.1	unk	Goodbye	5.8e-15
KFY10921.1	unk	PNP_UDP_1	2e-06
KFY11729.1	unk	Goodbye	9.9e-13
KFY16290.1	unk	Goodbye	1.8e-21
KFY18198.1	unk	PNP_UDP_1	4.4e-06
KFY18912.1	unk	Goodbye	1.8e-21
KFH40376.1	unk	Goodbye	8.499999999999999e-13
KFH48460.1	unk	Goodbye	2.7000000000000002e-12
KFX44630.1	unk	Helo_like_N	0.0034
KFX52257.1	unk	PNP_UDP_1	0.0019
KFX45409.1	unk	Ses_B	0.0011
KFX48934.1	unk	PNP_UDP_1	4.1e-06
KFX49690.1	unk	PNP_UDP_1	0.0008699999999999999
KFX51083.1	unk	PNP_UDP_1	0.0013
KFX45840.1	unk	PNP_UDP_1	2.4e-12
KEQ57671.1	unk	PNP_UDP_1	0.00026000000000000003
KEQ57675.1	unk	PNP_UDP_1	0.00064
KEQ57738.1	unk	PNP_UDP_1	3.9e-06
KEP48144.1	unk	Pkinase_fungal	5.499999999999999e-62
KEY81847.1	unk	PNP_UDP_1	0.00045
KFA54113.1	unk	PNP_UDP_1	9.1e-05
KFA55659.1	unk	HET	2.2e-07
KFA55736.1	unk	PNP_UDP_1	0.00044
KFA56492.1	unk	PNP_UDP_1	3.1e-06
KEY75329.1	unk	PNP_UDP_1	4.2e-07
KEY75290.1	unk	Ses_B	0.0045
KEQ83288.1	unk	PNP_UDP_1	2.3999999999999998e-11
KEY70103.1	unk	Ses_B	0.00025
KEY71372.1	unk	PNP_UDP_1	0.00011999999999999999
KEY71810.1	unk	PNP_UDP_1	9.7e-05
KEY75230.1	unk	HET	2.3e-07
KEY73950.1	unk	PNP_UDP_1	5.7e-07
KEY73924.1	unk	PNP_UDP_1	2.8e-06
KGQ09421.1	unk	Goodbye	3.5e-29
KHN98862.1	unk	PNP_UDP_1	0.0013
KGQ08764.1	unk	PNP_UDP_1	0.0006900000000000001
KID64484.1	unk	PNP_UDP_1	4.3e-07
KID69235.1	unk	PNP_UDP_1	3.1e-05
KGO64718.1	unk	PNP_UDP_1	9.5e-07
KGQ08381.1	unk	PNP_UDP_1	7.1e-06
KGO71455.1	unk	PNP_UDP_1	0.00018999999999999998
KGO73285.1	unk	Goodbye	9.8e-11
KGO76027.1	unk	Patatin	1.1e-05
KGQ06267.1	unk	PNP_UDP_1	0.0061
KGO72105.1	unk	Ses_B	0.0023
KID96706.1	unk	PNP_UDP_1	0.0027
KID98429.1	unk	PNP_UDP_1	0.00011999999999999999
KIE01448.1	unk	PNP_UDP_1	0.0029
KID95895.1	unk	PNP_UDP_1	0.0064
KID85361.1	unk	PNP_UDP_1	2.2e-05
KID86739.1	unk	PNP_UDP_1	0.00013000000000000002
KID86963.1	unk	PNP_UDP_1	0.0013
KID94494.1	unk	PNP_UDP_1	8.400000000000001e-06
KGO47580.1	unk	PNP_UDP_1	0.0041
KFY77270.1	unk	Goodbye	1.5e-35
KFY68648.1	unk	Goodbye	2.6e-21
KFY79183.1	unk	Goodbye	3.0999999999999996e-11
KFY81151.1	unk	Goodbye	2.5e-20
KFY68311.1	unk	Goodbye	1.5e-10
KFY29319.1	unk	Goodbye	1.7e-21
KFY34139.1	unk	Goodbye	1.6e-12
KFY40762.1	unk	Goodbye	6.8e-22
KFY41721.1	unk	Goodbye	5.5e-22
KFY45244.1	unk	Goodbye	9.400000000000001e-28
KFY51544.1	unk	Goodbye	1.5e-35
KFY57414.1	unk	Goodbye	1.6e-22
KFY61173.1	unk	Goodbye	5.2e-21
KFZ19877.1	unk	Goodbye	3.2e-22
KFZ23908.1	unk	Goodbye	1.7e-21
KGO38422.1	unk	Ses_B	0.0023
KGO40777.1	unk	PNP_UDP_1	2e-05
KFY92489.1	unk	Goodbye	4.5e-22
KFZ10270.1	unk	Goodbye	3e-11
KFZ05421.1	unk	Goodbye	6.5e-39
KFY98363.1	unk	PNP_UDP_1	4.4e-07
KDQ54654.1	unk	C2	0.00047999999999999996
KDN61712.1	unk	PNP_UDP_1	0.00025
KDN63349.1	unk	PNP_UDP_1	0.00049
KDN45043.1	unk	Patatin	1.6e-05
CRK10105.1	unk	PNP_UDP_1	2.0999999999999998e-09
CEN61882.1	unk	NACHT_sigma	0.0016
CEO59708.1	unk	Ses_B	0.00026000000000000003
CEO59716.1	unk	PNP_UDP_1	5.3e-08
CRG87386.1	unk	PNP_UDP_1	2e-06
CRG88498.1	unk	PNP_UDP_1	0.0038
CRG88699.1	unk	PNP_UDP_1	6.900000000000001e-06
CRG89233.1	unk	Ses_B	0.00015
CRG89769.1	unk	PNP_UDP_1	2.8000000000000003e-09
CRG89885.1	unk	PNP_UDP_1	0.00058
CRG92691.1	unk	PNP_UDP_1	8.1e-08
CEJ62717.1	unk	Ses_B	0.0007099999999999999
CEJ62843.1	unk	Ses_B	0.0011
CEJ80058.1	unk	PNP_UDP_1	0.00026000000000000003
CEJ82925.1	unk	PNP_UDP_1	4.8e-10
CEJ82926.1	unk	PNP_UDP_1	4.8e-10
CEJ82953.1	unk	PNP_UDP_1	2.3e-10
CEJ82954.1	unk	PNP_UDP_1	2.3e-10
CEJ87159.1	unk	HeLo	2.8000000000000003e-05
CEJ90691.1	unk	PNP_UDP_1	2.6e-06
CEJ91476.1	unk	PNP_UDP_1	5.0999999999999995e-06
CEJ62482.1	unk	Ses_B	5.1e-05
CEG03538.1	unk	PNP_UDP_1	0.00016999999999999999
CEG05133.1	unk	Goodbye	1.6999999999999998e-12
CEJ58172.1	unk	Goodbye	3.1999999999999996e-30
CEJ58173.1	unk	Goodbye	1e-08
CEL10523.1	unk	PNP_UDP_1	1.8e-08
CEL11941.1	unk	PNP_UDP_1	0.0069
CEL09802.1	unk	PNP_UDP_1	1.1e-05
CEL01299.1	unk	PNP_UDP_1	5.5e-06
CEL01300.1	unk	PNP_UDP_1	0.00035
CEL02875.1	unk	Goodbye	6.799999999999999e-19
CEL03122.1	unk	PNP_UDP_1	3.1e-07
CEL09355.1	unk	PNP_UDP_1	1.1e-07
CEL04219.1	unk	HET-S	0.0058
CEL06478.1	unk	Goodbye	1.7e-16
CEL06481.1	unk	PNP_UDP_1	2.5e-05
CEL06890.1	unk	PNP_UDP_1	9e-05
CEL08493.1	unk	PNP_UDP_1	8.7e-07
CEL08543.1	unk	PNP_UDP_1	4.5e-07
CEL04886.1	unk	Patatin	1.3000000000000001e-05
CUA76638.1	unk	Patatin	0.0017
CUA76956.1	unk	Patatin	3.7e-05
CUA77370.1	unk	Patatin	7.9e-06
CUA75647.1	unk	Patatin	7.1e-07
CUA78442.1	unk	Pkinase_fungal	1.2999999999999998e-19
CUA66582.1	unk	Patatin	0.0046
CRL30769.1	unk	PNP_UDP_1	7.4e-08
CRL19854.1	unk	PNP_UDP_1	1.1e-06
CRL20532.1	unk	Ses_B	0.0037
CRL26309.1	unk	PNP_UDP_1	2.3e-06
CRL27305.1	unk	Ses_B	4.9000000000000005e-06
CRL27575.1	unk	Ses_B	0.00047000000000000004
CRL29473.1	unk	PNP_UDP_1	7.3e-07
CRL29920.1	unk	PNP_UDP_1	2.2e-07
CUA73241.1	unk	Patatin	0.0042
CCA75681.1	unk	Helo_like_N	0.0005200000000000001
CCA75861.1	unk	Patatin	2.2e-05
CCA73816.1	unk	Patatin	0.0042
CCA74954.1	unk	Patatin	0.00033999999999999997
CCA77866.1	unk	Patatin	0.0016
CCA77880.1	unk	Patatin	0.0012
CCA77884.1	unk	Patatin	4.6e-05
CCA76532.1	unk	Helo_like_N	0.0048
CCA76542.1	unk	Helo_like_N	0.0081
CCA76661.1	unk	Helo_like_N	0.0049
CCA76868.1	unk	Patatin	0.0022
CAK38591.1	unk	Goodbye	1.3999999999999997e-38
CAK45450.1	unk	PNP_UDP_1	7.8e-08
CAK46273.1	unk	PNP_UDP_1	4.6e-07
CAK47263.1	unk	PNP_UDP_1	4.1e-06
AIA58901.1	unk	PNP_UDP_1	1.2e-07
CAK96728.1	unk	PNP_UDP_1	0.00035
CCA71206.1	unk	DUF3141	0.0014
CCA72180.1	unk	Helo_like_N	0.0026
CCA71059.1	unk	Patatin	0.00023999999999999998
CCA73429.1	unk	Patatin	0.0081
CCA73509.1	unk	Patatin	3.3e-05
CCA66964.1	unk	Patatin	0.0011
CCA67313.1	unk	Patatin	2.7000000000000002e-05
CCA68402.1	unk	Patatin	4.4e-07
CCA68726.1	unk	Patatin	7.4e-09
CCA69184.1	unk	Patatin	0.00059
CCD34122.1	unk	Ses_B	0.0009199999999999999
CEF76197.1	unk	PNP_UDP_1	4.9000000000000005e-06
CEF78209.1	unk	Goodbye	6.099999999999999e-23
CEF79547.1	unk	CHAT	0.00033
CEF79559.1	unk	PNP_UDP_1	8.7e-07
CEF86234.1	unk	Goodbye	1.4e-08
CDM29880.1	unk	PNP_UDP_1	7.5e-08
CDM31663.1	unk	PNP_UDP_1	4.2000000000000004e-06
CDM36730.1	unk	PNP_UDP_1	0.0002
CDM37253.1	unk	Ses_B	0.0035
CDM37255.1	unk	Ses_B	0.00093
CDO69929.1	unk	Goodbye	0.0015
CDO72564.1	unk	Pkinase_fungal	4e-07
CCO29008.1	unk	Patatin	0.0033
CCD51210.1	unk	PNP_UDP_1	3.5e-07
CCF33526.1	unk	PNP_UDP_1	8.599999999999999e-06
CCF34362.1	unk	PNP_UDP_1	1.6e-06
CCF38037.1	unk	NACHT_sigma	0.0001
CCF39770.1	unk	PNP_UDP_1	6.4e-09
CCF41881.1	unk	PNP_UDP_1	2.6000000000000002e-05
ELQ68890.1	unk	PNP_UDP_1	0.00011999999999999999
ELQ70105.1	unk	PNP_UDP_1	1.8000000000000001e-06
ELA34023.1	unk	NACHT_sigma	7.000000000000001e-06
ELA34755.1	unk	PNP_UDP_1	1.5e-10
ELA36202.1	unk	PNP_UDP_1	3.0999999999999996e-11
ELA38438.1	unk	PNP_UDP_1	1.1e-06
ELQ34175.1	unk	PNP_UDP_1	1.8000000000000001e-06
ELA26171.1	unk	PNP_UDP_1	6.9e-05
ELA26680.1	unk	PNP_UDP_1	7.099999999999999e-10
ELA28227.1	unk	Goodbye	1.2e-21
ELA28271.1	unk	PNP_UDP_1	2.7000000000000002e-05
ELA29779.1	unk	Goodbye	8.6e-28
ELA30984.1	unk	PNP_UDP_1	0.00016999999999999999
ELA32873.1	unk	Goodbye	4.6e-28
ELA24066.1	unk	NACHT_sigma	0.00037999999999999997
EKG14407.1	unk	HeLo	2.5e-05
ELA23632.1	unk	PNP_UDP_1	6.4e-07
EPS29057.1	unk	Ses_B	0.00053
EPS31628.1	unk	PNP_UDP_1	1.8e-05
EPS32151.1	unk	Ses_B	4.7e-05
EPS34465.1	unk	Ses_B	0.0014
EPS36106.1	unk	PNP_UDP_1	2.9999999999999997e-05
EPS36659.1	unk	PNP_UDP_1	8.8e-07
EPS37521.1	unk	PNP_UDP_1	1.2e-06
EPS37531.1	unk	PNP_UDP_1	8.3e-05
EPS38213.1	unk	PNP_UDP_1	0.0018
ENH75663.1	unk	Goodbye	1.1e-12
ENH76687.1	unk	PNP_UDP_1	4.1e-05
ENH81228.1	unk	Goodbye	2.7e-29
ENH83859.1	unk	Goodbye	9.4e-16
ENH83870.1	unk	PNP_UDP_1	0.0079
EQB49645.1	unk	Goodbye	1.0000000000000001e-21
EQB52061.1	unk	PNP_UDP_1	1.2999999999999999e-11
EQB52262.1	unk	Goodbye	1.1000000000000001e-16
EQB55388.1	unk	PNP_UDP_1	7.8e-08
EQB56566.1	unk	NACHT_sigma	8.8e-05
EQB57237.1	unk	Goodbye	2.3999999999999999e-32
EQL01645.1	unk	PNP_UDP_1	6.7e-06
EPS40055.1	unk	PNP_UDP_1	3.7e-09
EPS40260.1	unk	PNP_UDP_1	1.5e-06
EPS41710.1	unk	PNP_UDP_1	5.5e-06
EPS42608.1	unk	PNP_UDP_1	7.8e-08
EPS44850.1	unk	PNP_UDP_1	4.8e-05
EPS45890.1	unk	PNP_UDP_1	1.7e-06
EQB43709.1	unk	NACHT_sigma	6.8e-06
EQB46359.1	unk	Goodbye	1.9e-28
EPS44771.1	unk	PNP_UDP_1	2e-06
ENH67760.1	unk	Goodbye	3.5e-14
EMR62267.1	unk	Goodbye	4.3e-19
EMR65014.1	unk	PNP_UDP_1	5.7000000000000005e-06
EMD37408.1	unk	Goodbye	2.5e-06
EMT74309.1	unk	PNP_UDP_1	3.7e-07
ENH66910.1	unk	PNP_UDP_1	0.0007
ENH63515.1	unk	PNP_UDP_1	9.9e-08
EMT67328.1	unk	PNP_UDP_1	0.0014
EMR68002.1	unk	PNP_UDP_1	1.4e-06
EMR68021.1	unk	Goodbye	2.2e-29
EMR69556.1	unk	Goodbye	7.4e-24
EMR69905.1	unk	Goodbye	1.1e-14
EMR84639.1	unk	Ses_B	0.00062
EMR87690.1	unk	PNP_UDP_1	4.2000000000000004e-06
EMT66140.1	unk	PNP_UDP_1	0.00054
EMT63020.1	unk	Goodbye	3.5e-14
CZR46707.1	unk	PNP_UDP_1	3.3e-06
CZR48481.1	unk	CHAT	0.0015
CZR49568.1	unk	PNP_UDP_1	5.8e-13
CZR52799.1	unk	Ses_B	0.0068
CVL06007.1	unk	CHAT	0.0014
CZR40856.1	unk	PNP_UDP_1	6.3e-07
CZR41564.1	unk	PNP_UDP_1	0.0019
CVL13847.1	unk	CHAT	5.3e-05
CZR56768.1	unk	Goodbye	1.5e-09
CZR68764.1	unk	PNP_UDP_1	7.599999999999999e-08
CZR70083.1	unk	HET	0.002
CZR62467.1	unk	HET	0.00027
CZR67325.1	unk	Patatin	2.7999999999999997e-14
CVK92137.1	unk	Goodbye	1.7e-22
CVK97670.1	unk	PNP_UDP_1	2.2000000000000002e-08
CVK98824.1	unk	CHAT	0.0017
CVL03350.1	unk	PNP_UDP_1	0.00016999999999999999
CVK85138.1	unk	PNP_UDP_1	1.4e-06
EGU73972.1	unk	PNP_UDP_1	6.6e-07
EGU75910.1	unk	PNP_UDP_1	0.0011
EGU73775.1	unk	Goodbye	3.5e-14
EGU72331.1	unk	Goodbye	4.7e-13
EGU71777.1	unk	PNP_UDP_1	1.6e-07
EIT79948.1	unk	PNP_UDP_1	9.5e-06
EIT83074.1	unk	NACHT_N	0.0032
EGU88223.1	unk	PNP_UDP_1	7.9e-07
EIT72410.1	unk	PNP_UDP_1	1.9e-07
EHA20588.1	unk	Goodbye	5.7999999999999994e-33
EHA20661.1	unk	Goodbye	2.5e-15
EHA21352.1	unk	PNP_UDP_1	0.0005
EDP52187.1	unk	PNP_UDP_1	0.00043
DAA77537.1	unk	NACHT_sigma	9.1e-05
EGC43321.1	unk	Goodbye	1.4e-19
EGD95927.1	unk	NACHT_sigma	0.00014
EGE01227.1	unk	NACHT_sigma	0.00014
EGE09424.1	unk	HeLo	3.9e-10
EED77596.1	unk	Goodbye	8.8e-11
EED80023.1	unk	Goodbye	1.5e-15
EED80033.1	unk	Goodbye	9.6e-18
EED80979.1	unk	Goodbye	1.3e-15
EEH08015.1	unk	PNP_UDP_1	1.2e-06
EER39635.1	unk	Goodbye	1.9e-19
KKZ60316.1	unk	PNP_UDP_1	0.003
KKZ65542.1	unk	PNP_UDP_1	1.5e-07
KKZ68821.1	unk	PNP_UDP_1	4.2e-07
KLJ13510.1	unk	PNP_UDP_1	3e-07
KLJ13644.1	unk	Goodbye	1.3999999999999998e-20
KLO90517.1	unk	SesA	0.0017
KLO92317.1	unk	CHAT	0.00095
KLO92474.1	unk	PNP_UDP_1	1.1e-05
KLO93198.1	unk	PNP_UDP_1	0.0093
KLO94741.1	unk	Goodbye	5.799999999999999e-23
KLO97530.1	unk	Ses_B	0.0076
KLO80271.1	unk	PNP_UDP_1	2.7e-07
KKF93326.1	unk	Patatin	8.7e-06
KKF93514.1	unk	Patatin	2.2e-05
KKF93649.1	unk	Patatin	9.2e-09
KKF95579.1	unk	Patatin	0.0037
KKF96655.1	unk	Patatin	2e-05
KKF96924.1	unk	Patatin	1.2e-06
KKK13165.1	unk	PNP_UDP_1	1.9e-07
KKK20668.1	unk	PNP_UDP_1	1.9e-07
KKO97617.1	unk	PNP_UDP_1	7.4e-05
KKO97783.1	unk	PNP_UDP_1	0.0013
KKF92278.1	unk	Patatin	0.0025
KJK95155.1	unk	PNP_UDP_1	7.6e-06
KJZ71091.1	unk	Patatin	0.00016999999999999999
KJZ71347.1	unk	Patatin	6.9e-05
KKF92089.1	unk	Patatin	1.9e-05
KKF92125.1	unk	Patatin	5.2000000000000004e-05
KJZ70025.1	unk	PNP_UDP_1	2.6e-08
KKP06489.1	unk	NACHT_sigma	2e-07
KKP06492.1	unk	PNP_UDP_1	4.4e-07
KKP07502.1	unk	Goodbye	6.4e-16
KKY16867.1	unk	PNP_UDP_1	1.6e-05
KKY27311.1	unk	Goodbye	5e-06
KKY32517.1	unk	Goodbye	2.7000000000000003e-18
KKO99139.1	unk	PNP_UDP_1	0.00011999999999999999
KKO99476.1	unk	PNP_UDP_1	7.000000000000001e-06
KKP01684.1	unk	Goodbye	1.1e-15
KKP03349.1	unk	PNP_UDP_1	3.1e-06
KOS37806.1	unk	Ses_B	0.0028
KOS39556.1	unk	Ses_B	0.0023
KOS46437.1	unk	PNP_UDP_1	4.9e-05
KOS47943.1	unk	PNP_UDP_1	1.2e-07
KPA36118.1	unk	PNP_UDP_1	0.0009400000000000001
KPA36758.1	unk	PNP_UDP_1	8.3e-06
KOS43996.1	unk	PNP_UDP_1	1.7e-06
KOC14556.1	unk	Goodbye	2.7e-19
KOC15629.1	unk	NACHT_N	4.5e-06
KTB37373.1	unk	C2	0.00018999999999999998
KPA42255.1	unk	PNP_UDP_1	0.0041
KPM34453.1	unk	Goodbye	4.3e-08
KLP22361.1	unk	SesA	0.0013
KMK62754.1	unk	PNP_UDP_1	3.4e-05
KMK62759.1	unk	PNP_UDP_1	0.00086
KLP22159.1	unk	PNP_UDP_1	8.199999999999999e-08
KLP07626.1	unk	Goodbye	5.700000000000001e-23
KLP09500.1	unk	SesA	0.0017
KLP19439.1	unk	Goodbye	5.700000000000001e-23
KNG46708.1	unk	Goodbye	2.3999999999999997e-19
KNG51777.1	unk	Goodbye	1.5e-07
KNG52804.1	unk	PNP_UDP_1	3.3e-06
KNZ77062.1	unk	Patatin	1.8000000000000001e-06
KND91746.1	unk	PNP_UDP_1	3.9e-06
KJK94451.1	unk	PNP_UDP_1	9.9e-06
KND90467.1	unk	PNP_UDP_1	8e-05
KJK86135.1	unk	PNP_UDP_1	0.001
KIO14164.1	unk	C2	0.00011999999999999999
KIO16073.1	unk	Helo_like_N	0.0077
KIM83468.1	unk	C2	0.00086
KIM86959.1	unk	C2	0.002
KIM85014.1	unk	C2	0.0008900000000000001
KIN05075.1	unk	Goodbye	1.9e-12
KIN05290.1	unk	HET	1.1e-07
KJK68282.1	unk	Goodbye	2.7999999999999997e-20
KJK73832.1	unk	PNP_UDP_1	1.9e-06
KJK74927.1	unk	NACHT_sigma	7.7e-05
KJK66420.1	unk	PNP_UDP_1	7.7e-05
KJK77342.1	unk	PNP_UDP_1	1e-05
KJK78028.1	unk	PNP_UDP_1	5.9e-06
KJK78044.1	unk	PNP_UDP_1	2.9e-07
KJK78107.1	unk	PNP_UDP_1	2.1000000000000002e-06
KJK81271.1	unk	PNP_UDP_1	1.9e-09
KJK82516.1	unk	PNP_UDP_1	3.4e-05
KJK82907.1	unk	PNP_UDP_1	7.6e-06
KJK77087.1	unk	PNP_UDP_1	2.5e-06
KJK63790.1	unk	NACHT_N	2e-05
KJJ29221.1	unk	PNP_UDP_1	1.4e-06
KIV85921.1	unk	Goodbye	9.900000000000001e-11
KIW63179.1	unk	Goodbye	1.5999999999999998e-30
KIW69810.1	unk	Goodbye	4.1e-15
KIW70019.1	unk	PNP_UDP_1	1e-06
KIW74015.1	unk	Goodbye	8.8e-09
KZP04596.1	unk	C2	0.008
KZP10814.1	unk	Peptidase_S10	0.0059
KZO90431.1	unk	SesA	0.00011
KZL87248.1	unk	PNP_UDP_1	5.3e-05
KZN93925.1	unk	Goodbye	4.0000000000000004e-20
KZP23038.1	unk	C2	0.0034
KZP23041.1	unk	C2	0.00037999999999999997
KZP23191.1	unk	C2	0.0055
KZP23194.1	unk	C2	0.00015
KZP22859.1	unk	C2	5.9999999999999995e-05
KZP24274.1	unk	C2	0.00011999999999999999
KZP27134.1	unk	C2	0.001
KZP27143.1	unk	C2	0.00033999999999999997
KZP27184.1	unk	C2	0.0058
KZP27202.1	unk	C2	0.00049
KZP15702.1	unk	C2	0.00074
KZP13299.1	unk	Peptidase_S10	0.0087
KZP18962.1	unk	Goodbye	0.0032
KXH66653.1	unk	Patatin	5.9e-06
KXH68894.1	unk	PNP_UDP_1	3.4e-05
KXH62894.1	unk	Goodbye	2.0000000000000002e-24
KXH61054.1	unk	PNP_UDP_1	0.00014
KXH42978.1	unk	Goodbye	2.7e-24
KXH43881.1	unk	PNP_UDP_1	2.8e-07
KXH46440.1	unk	PNP_UDP_1	2e-05
KXH49167.1	unk	Goodbye	4.0999999999999996e-16
KXH50420.1	unk	PNP_UDP_1	0.0001
KXH50616.1	unk	PNP_UDP_1	0.0089
KXH50948.1	unk	Goodbye	2.7e-16
KXH51554.1	unk	PNP_UDP_1	3.4e-07
KXH53345.1	unk	Goodbye	2.6e-23
KXJ85264.1	unk	Patatin	8.6e-07
KXJ97314.1	unk	Goodbye	8.399999999999999e-21
KXL50878.1	unk	HET	2.8e-06
KUL81410.1	unk	Ses_B	7.6e-05
KUL81568.1	unk	Goodbye	1.8e-09
KUL81610.1	unk	PNP_UDP_1	4.8e-06
KUL81795.1	unk	PNP_UDP_1	4.7e-06
KUL83288.1	unk	PNP_UDP_1	2.5e-05
KUL83658.1	unk	PNP_UDP_1	0.00042
KUL83914.1	unk	DUF676	0.0006
KUL84896.1	unk	PNP_UDP_1	3.5e-08
KUL81504.1	unk	PNP_UDP_1	1.0000000000000001e-11
KUL85691.1	unk	PNP_UDP_1	2.6000000000000002e-12
KUL85707.1	unk	PNP_UDP_1	0.00016
KUL85866.1	unk	PNP_UDP_1	1e-07
KXG46843.1	unk	Ses_B	0.0012
KXH25630.1	unk	Goodbye	2.5999999999999998e-27
KXH34120.1	unk	PNP_UDP_1	0.00031
KUM57952.1	unk	PNP_UDP_1	3.5e-07
KUM59500.1	unk	HeLo	0.00095
KUM66967.1	unk	Ses_B	0.00018999999999999998
KUM66101.1	unk	PNP_UDP_1	2e-05
KUM65315.1	unk	Ses_B	0.0096
KUM63401.1	unk	Goodbye	2.5e-34
KUM62312.1	unk	Ses_B	0.00016
KUM64737.1	unk	PNP_UDP_1	8.199999999999999e-08
KXX72946.1	unk	Ses_B	0.0011
KXX73585.1	unk	NACHT_sigma	1.9e-05
KXX76355.1	unk	Ses_B	0.0006799999999999999
KXX76648.1	unk	PNP_UDP_1	0.0034
KXX74513.1	unk	Ses_B	0.0006799999999999999
KXX79286.1	unk	HET-S	0.0015
KZL72992.1	unk	PNP_UDP_1	2.9e-07
KZL78138.1	unk	PNP_UDP_1	3.7e-05
KZL79495.1	unk	PNP_UDP_1	2e-07
KZL84224.1	unk	PNP_UDP_1	0.00044
KZL85251.1	unk	Goodbye	3.3e-30
KZL85289.1	unk	PNP_UDP_1	0.00088
KZL71689.1	unk	PNP_UDP_1	1.3e-06
KYG42440.1	unk	HET	2.7000000000000004e-06
KYG44788.1	unk	PNP_UDP_1	0.0032
KZL65034.1	unk	PNP_UDP_1	1.2e-07
KZL67133.1	unk	Goodbye	3.7e-16
KZL70068.1	unk	PNP_UDP_1	2.6e-08
KIK26007.1	unk	C2	0.00014
KIK54701.1	unk	Goodbye	5.7e-09
KIJ49330.1	unk	Patatin	0.006
KIJ36029.1	unk	C2	9.6e-05
KIJ58845.1	unk	C2	0.00056
KIM29184.1	unk	Patatin	3.7e-08
KIM29976.1	unk	Patatin	7.1e-07
KIM28742.1	unk	Patatin	3.8e-05
KIM28745.1	unk	Patatin	1.3e-07
KIM28423.1	unk	Patatin	0.00014
KIM28425.1	unk	Patatin	0.0014
KIM32135.1	unk	Patatin	6.8e-05
KIM32147.1	unk	Patatin	1.7000000000000001e-09
KIM32162.1	unk	Patatin	2.6000000000000002e-05
KIM32300.1	unk	Patatin	4.2e-05
KIM32685.1	unk	Patatin	7.1e-06
KIM23751.1	unk	Patatin	2.2e-07
KIM23882.1	unk	Patatin	8.6e-05
KIM23149.1	unk	Patatin	4.1e-06
KIM27264.1	unk	Patatin	5.7e-07
KIM27311.1	unk	Patatin	2.5e-05
KIM27322.1	unk	Patatin	2e-07
KIM24403.1	unk	Patatin	1.4000000000000001e-05
KIM25291.1	unk	Patatin	1.8e-05
KIM24831.1	unk	Patatin	6.7e-12
KIM64128.1	unk	C2	0.00036
KIL58579.1	unk	Goodbye	3.3e-08
KIL92993.1	unk	PNP_UDP_1	0.00047999999999999996
KIL86192.1	unk	PNP_UDP_1	0.0011
KIL87438.1	unk	PNP_UDP_1	1.8e-07
KIL88188.1	unk	PNP_UDP_1	0.001
KIM21473.1	unk	Patatin	3.2e-06
KIM22236.1	unk	Patatin	0.00018
KIM21165.1	unk	Patatin	1.3e-08
